person_id,person_name,n_competitions,n_results,first_year,last_year,best_sec_mean,average_sec_mean,span
2021LEMP01,Luukas Lempinen,55,136,2021,2026,3.816323529411765,5.4572794117647065,5
2021JAWO01,Szymon Jaworski,75,135,2021,2026,3.4288148148148148,4.780074074074074,5
2022IVAR01,Ludwig Ivarsson,93,135,2022,2026,4.057333333333333,5.641185185185185,4
2006BUUS01,Henrik Buus Aagaard,92,134,2006,2025,6.808656716417911,9.414701492537313,19
2015TALB01,Seth Talbot,65,134,2015,2026,3.534179104477612,4.813059701492538,11
2019JIAN54,Lingkun Jiang (姜凌坤),60,134,2019,2026,1.4126119402985073,1.9109701492537312,7
2022DINC01,Ayden Dincher,59,134,2022,2026,2.5441044776119406,3.583955223880597,4
2014VENK02,Rahul Venkatesan,67,133,2014,2026,5.4044360902255635,7.249624060150376,12
2014QUYN02,Tomáš Nguyen,53,133,2015,2026,2.66796992481203,3.86781954887218,11
2014STEI03,Annika Stein,81,133,2015,2025,7.132406015037594,9.624210526315789,10
2013SAWA01,Aneesh Sawant,57,133,2013,2023,4.283157894736842,5.666842105263158,10
2017GARC48,Haiver Lenin Reyes Garcia,71,133,2017,2026,6.38187969924812,8.391503759398496,9
2017INIE02,Mikel Pérez Iniesto,61,133,2017,2026,4.298345864661654,5.900601503759399,9
2016RAMO01,Klaus Ramos,65,133,2017,2025,5.456240601503759,7.3746616541353385,8
2020DOZA01,Cyprian Doza,54,133,2020,2026,1.9668421052631577,2.6584962406015036,6
2023CLAR13,Jayden Clark,61,133,2023,2026,3.227142857142857,4.288345864661654,3
2015WITM01,Mattheo de Wit,76,132,2015,2026,3.4961363636363636,4.862196969696969,11
2016JARM01,Myles Jarman,73,132,2016,2026,5.259015151515152,7.090227272727272,10
2016KELL10,Adam Marcellus Kelly,69,132,2016,2026,3.3026515151515152,4.747727272727273,10
2018GUER09,Héctor Haro Guerrero,55,132,2018,2026,2.7448484848484846,3.6142424242424243,8
2008JEWR01,Ryan Jew,100,131,2009,2025,5.6187786259541985,7.506106870229007,16
2011ALVI01,Wilson Alvis (陈智胜),94,131,2011,2026,5.795496183206107,8.02259541984733,15
2013VICE01,Mar Gallego Vicente,77,131,2014,2026,6.239389312977099,7.987404580152671,12
2012ESPI02,Jorge Martín Espinosa,68,131,2012,2024,4.762900763358779,6.235801526717557,12
2017OSTD02,Jason Ostdiek,69,131,2017,2026,3.6890839694656488,4.932671755725191,9
2015DASA02,Aniket Das,51,131,2015,2023,2.806030534351145,3.7377862595419846,8
2016OBRE01,Piero Alessandro Laguna Obregon,65,130,2016,2026,5.021692307692308,6.679461538461538,10
2015BROW03,Elijah Brown,61,130,2015,2025,2.3186153846153847,3.256846153846154,10
2017SUNY01,Owen Yepeng Sun (孙叶芃),59,130,2017,2026,2.0596923076923077,2.776153846153846,9
2018OPAC01,Kajetan Opach,58,130,2018,2026,2.6864615384615385,3.8345384615384615,8
2019WANY36,Yiheng Wang (王艺衡),62,130,2019,2025,2.3376923076923077,2.929076923076923,6
2021ZAJD02,Stefan Zajder,64,130,2021,2026,2.774,4.0193076923076925,5
